iris, k-means, neuron, Training error, 25.05747126436781258, 3.65517241379310498, 21.4023
monks3, weight-centric, k-means, Training error, 19.76874003189793072, 26.61881977671450628, -6.85008
monks3, weight-centric, ward, Training error, 19.76874003189793072, 25.00000000000000000, -5.23126
monks3, weight-centric, neuron, Training error (misclassified), 19.76874003189793072, 23.82775119617224746, -4.05901
monks3, weight-centric, k-means, Training error (misclassified), 19.76874003189793072, 26.61881977671450628, -6.85008
monks3, weight-centric, ward, Training error (misclassified), 19.76874003189793072, 25.00000000000000000, -5.23126
monks3, weight-centric, neuron, Percentage unlabeled neurons, 0.00000000000000000, 32.69972451790633272, -32.6997
monks3, weight-centric, k-means, Percentage unlabeled neurons, 0.00000000000000000, 2.13379469434832769, -2.13379
monks3, weight-centric, ward, Percentage unlabeled neurons, 0.00000000000000000, 6.77083333333333304, -6.77083
pima, k-means, neuron, Training error, 24.04665769403319331, 20.58770749214894025, 3.45895
pima, k-means, neuron, Training error (misclassified), 24.04665769403319331, 20.58770749214894025, 3.45895
pima, k-means, neuron, Percentage unlabeled neurons, 0.24221453287197239, 3.26388888888888884, -3.02167
pima, ward, neuron, Training error, 25.27590847913862859, 20.58770749214894025, 4.6882
pima, ward, k-means, Training error, 25.27590847913862859, 24.04665769403319331, 1.22925
pima, ward, neuron, Training error (misclassified), 25.27590847913862859, 20.58770749214894025, 4.6882
pima, ward, k-means, Training error (misclassified), 25.27590847913862859, 24.04665769403319331, 1.22925
pima, ward, neuron, Percentage unlabeled neurons, 0.20833333333333334, 3.26388888888888884, -3.05556
pima, weight-centric, neuron, Training error, 22.39120681920143241, 20.58770749214894025, 1.8035
pima, weight-centric, k-means, Training error, 22.39120681920143241, 24.04665769403319331, -1.65545
pima, weight-centric, ward, Training error, 22.39120681920143241, 25.27590847913862859, -2.8847
pima, weight-centric, neuron, Training error (misclassified), 22.39120681920143241, 20.58770749214894025, 1.8035
pima, weight-centric, k-means, Training error (misclassified), 22.39120681920143241, 24.04665769403319331, -1.65545
pima, weight-centric, ward, Training error (misclassified), 22.39120681920143241, 25.27590847913862859, -2.8847
pima, weight-centric, neuron, Percentage unlabeled neurons, 0.00000000000000000, 3.26388888888888884, -3.26389
pima, weight-centric, k-means, Percentage unlabeled neurons, 0.00000000000000000, 0.24221453287197239, -0.242215
